label,description,size
0,Chess game.,131
1,chess game,146
2,Chess,133
3,chess playing on television,40
4,Chess players on television screen.,94
5,Chess players,213
6,Chess,91
7,chess game,36
8,"The topic label could be ""Chess Players in Action"" or ""Chess Game on Television"".",196
9,chess playing on television,36
10,Chess playing,66
11,Chess,44
12,Chess players on television screen,40
13,Chess game.,39
14,chess playing,242
15,chess game,73
16,Chess on television screen,34
17,Chess game players,113
18,chess playing,414
19,"The short topic label could be ""chess players"".",42
20,"The topic label for these sentences could be ""Two men playing chess on a television screen"".",125
21,Chess playing on television screen,39
22,Chess on a television screen,80
